Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Add Strings,100.0,0.5173803810680658,https://leetcode.com/problems/add-strings,"Math, String, Simulation"
MEDIUM,Eat Pizzas!,100.0,0.3216848673946957,https://leetcode.com/problems/eat-pizzas,"Array, Greedy, Sorting"
MEDIUM,Flatten 2D Vector,100.0,0.4999226416762443,https://leetcode.com/problems/flatten-2d-vector,"Array, Two Pointers, Design, Iterator"
MEDIUM,Simple Bank System,90.4,0.6338894946748921,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation"
MEDIUM,LRU Cache,100.0,0.4443099993738651,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Number of Islands,94.6,0.615808775756407,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Two Sum,92.5,0.5507379391732659,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Reorganize String,91.4,0.5578363999113278,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Group Anagrams,83.2,0.7033699077307562,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Search in Rotated Sorted Array,81.6,0.4232396508383484,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
HARD,Trapping Rain Water,81.6,0.6428754576577578,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Longest Substring Without Repeating Characters,77.8,0.3632668319522125,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Course Schedule II,77.8,0.5263019025135398,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
EASY,Best Time to Buy and Sell Stock,73.4,0.5476981855215786,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Top K Frequent Elements,73.4,0.6408009414896952,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Course Schedule,73.4,0.4847667258580437,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Median of Two Sorted Arrays,73.4,0.429393695737594,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
HARD,Word Ladder,68.0,0.4184675038629645,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Minimum Health to Beat Game,68.0,0.5833387368694073,https://leetcode.com/problems/minimum-health-to-beat-game,"Array, Greedy"
MEDIUM,Lowest Common Ancestor of a Binary Tree,68.0,0.656696581898547,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,3Sum,68.0,0.3642306306614018,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Insert Delete GetRandom O(1),68.0,0.5490693218065985,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Add Two Numbers,68.0,0.4543965080767522,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
HARD,Find Median from Data Stream,64.8,0.5297430019089757,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
HARD,First Missing Positive,64.8,0.4063430225538805,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Jump Game,64.8,0.3911361530458638,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
HARD,Merge k Sorted Lists,64.8,0.5579527291964019,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Longest Palindromic Substring,64.8,0.3529835172881564,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Climbing Stairs,61.1,0.5334306510493801,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Maximum Subarray,61.1,0.5173369031138303,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Asteroid Collision,61.1,0.451076014552259,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
HARD,Concatenated Words,61.1,0.4935315836171613,https://leetcode.com/problems/concatenated-words,"Array, String, Dynamic Programming, Depth-First Search, Trie"
EASY,Valid Parentheses,61.1,0.4184517833838596,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Merge Sorted Array,61.1,0.5225683871742244,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Diameter of Binary Tree,61.1,0.6275677346995255,https://leetcode.com/problems/diameter-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Kth Largest Element in an Array,56.7,0.6762042927765874,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Find Minimum in Rotated Sorted Array,56.7,0.5215056217210431,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
EASY,Pascal's Triangle,56.7,0.7642548455060169,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
MEDIUM,Jump Game II,56.7,0.411384657702939,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
EASY,First Unique Character in a String,56.7,0.6322655217965654,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
MEDIUM,Binary Tree Level Order Traversal,56.7,0.6982010981098483,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Analyze User Website Visit Pattern,56.7,0.4323115117050953,https://leetcode.com/problems/analyze-user-website-visit-pattern,"Array, Hash Table, Sorting"
EASY,Create Hello World Function,56.7,0.8182503818859103,https://leetcode.com/problems/create-hello-world-function,
MEDIUM,Container With Most Water,56.7,0.5717349963766004,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Binary Tree Right Side View,56.7,0.6563558604499753,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Word Search,56.7,0.4462624819827438,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Coin Change,56.7,0.4581322419962037,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
EASY,Valid Anagram,51.4,0.6615040888035806,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Basic Calculator II,51.4,0.4525727790930288,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Combination Sum,51.4,0.7393127109003892,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Koko Eating Bananas,51.4,0.488238594290909,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Subarray Sum Equals K,51.4,0.4493129422155238,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
HARD,Sliding Window Maximum,51.4,0.4724660010659033,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Letter Combinations of a Phone Number,51.4,0.630801560094736,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Rotting Oranges,51.4,0.5596882816444919,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Copy List with Random Pointer,51.4,0.5950407415071429,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
EASY,Remove Duplicates from Sorted Array,51.4,0.5945073984213194,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Make Array Zero by Subtracting Equal Amounts,51.4,0.7309110410940538,https://leetcode.com/problems/make-array-zero-by-subtracting-equal-amounts,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Simulation"
MEDIUM,Longest Consecutive Sequence,51.4,0.4719063247974951,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
MEDIUM,House Robber,51.4,0.5198829807257334,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
EASY,Longest Common Prefix,51.4,0.4488789191360456,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Generate Parentheses,51.4,0.7652987331459865,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Merge Intervals,51.4,0.4880648397264499,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,String Compression,44.5,0.5727269065965125,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Identify the Largest Outlier in an Array,44.5,0.3280225988700564,https://leetcode.com/problems/identify-the-largest-outlier-in-an-array,"Array, Hash Table, Counting, Enumeration"
MEDIUM,Longest Increasing Subsequence,44.5,0.5717091801100265,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
HARD,Max Chunks To Make Sorted II,44.5,0.5399375662284847,https://leetcode.com/problems/max-chunks-to-make-sorted-ii,"Array, Stack, Greedy, Sorting, Monotonic Stack"
MEDIUM,Cheapest Flights Within K Stops,44.5,0.4006117600093847,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
MEDIUM,Max Chunks To Make Sorted,44.5,0.6391087430946618,https://leetcode.com/problems/max-chunks-to-make-sorted,"Array, Stack, Greedy, Sorting, Monotonic Stack"
MEDIUM,Minimum Path Sum,44.5,0.6584778180276342,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
MEDIUM,Binary Tree Zigzag Level Order Traversal,44.5,0.6100934725237581,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
EASY,Symmetric Tree,44.5,0.586338342188093,https://leetcode.com/problems/symmetric-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,Reverse Nodes in k-Group,44.5,0.6204624534215137,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Snakes and Ladders,44.5,0.4401407661443974,https://leetcode.com/problems/snakes-and-ladders,"Array, Breadth-First Search, Matrix"
MEDIUM,The kth Factor of n,44.5,0.6925428721066084,https://leetcode.com/problems/the-kth-factor-of-n,"Math, Number Theory"
MEDIUM,Implement Trie (Prefix Tree),44.5,0.6744639083145758,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
MEDIUM,Count Number of Bad Pairs,44.5,0.5448559854835412,https://leetcode.com/problems/count-number-of-bad-pairs,"Array, Hash Table, Math, Counting"
MEDIUM,Palindrome Partitioning,44.5,0.7138387050735545,https://leetcode.com/problems/palindrome-partitioning,"String, Dynamic Programming, Backtracking"
EASY,Recyclable and Low Fat Products,44.5,0.893763369632633,https://leetcode.com/problems/recyclable-and-low-fat-products,Database
