Difficulty,Title,Frequency,Link,Topics,Companies
MEDIUM,Random Pick with Weight,89.8,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized",Meta
MEDIUM,Nested List Weight Sum,87.3,https://leetcode.com/problems/nested-list-weight-sum,"Depth-First Search, Breadth-First Search",Meta
MEDIUM,Lowest Common Ancestor of a Binary Tree III,87.3,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii,"Hash Table, Two Pointers, Tree, Binary Tree",Meta
EASY,Diameter of Binary Tree,86.3,https://leetcode.com/problems/diameter-of-binary-tree,"Tree, Depth-First Search, Binary Tree",Meta
MEDIUM,Binary Tree Right Side View,86.3,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",Meta
MEDIUM,Buildings With an Ocean View,79.9,https://leetcode.com/problems/buildings-with-an-ocean-view,"Array, Stack, Monotonic Stack",Meta
EASY,Valid Palindrome,78.6,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String",Meta
MEDIUM,Shortest Path in Binary Matrix,75.8,https://leetcode.com/problems/shortest-path-in-binary-matrix,"Array, Breadth-First Search, Matrix",Meta
EASY,Range Sum of BST,74.2,https://leetcode.com/problems/range-sum-of-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",Meta
MEDIUM,Minimum Add to Make Parentheses Valid,72.5,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid,"String, Stack, Greedy",Meta
MEDIUM,Kth Smallest Element in a Sorted Matrix,72.5,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix,"Array, Binary Search, Sorting, Heap (Priority Queue), Matrix",Meta
HARD,Making A Large Island,70.7,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",Meta
MEDIUM,Max Consecutive Ones III,70.7,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum",Meta
MEDIUM,Sum Root to Leaf Numbers,70.7,https://leetcode.com/problems/sum-root-to-leaf-numbers,"Tree, Depth-First Search, Binary Tree",Meta
MEDIUM,Clone Graph,68.8,https://leetcode.com/problems/clone-graph,"Hash Table, Depth-First Search, Breadth-First Search, Graph",Meta
MEDIUM,Next Permutation,66.6,https://leetcode.com/problems/next-permutation,"Array, Two Pointers",Meta
MEDIUM,Longest Substring with At Most Two Distinct Characters,66.6,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters,"Hash Table, String, Sliding Window",Meta
EASY,Moving Average from Data Stream,64.3,https://leetcode.com/problems/moving-average-from-data-stream,"Array, Design, Queue, Data Stream",Meta
MEDIUM,Dot Product of Two Sparse Vectors,64.3,https://leetcode.com/problems/dot-product-of-two-sparse-vectors,"Array, Hash Table, Two Pointers, Design",Meta
HARD,Sliding Window Median,61.6,https://leetcode.com/problems/sliding-window-median,"Array, Hash Table, Sliding Window, Heap (Priority Queue)",Meta
HARD,Valid Number,61.6,https://leetcode.com/problems/valid-number,String,Meta
MEDIUM,Diagonal Traverse,61.6,https://leetcode.com/problems/diagonal-traverse,"Array, Matrix, Simulation",Meta
MEDIUM,Insert into a Sorted Circular Linked List,58.6,https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list,Linked List,Meta
MEDIUM,Custom Sort String,58.6,https://leetcode.com/problems/custom-sort-string,"Hash Table, String, Sorting",Meta
HARD,Robot Room Cleaner,58.6,https://leetcode.com/problems/robot-room-cleaner,"Backtracking, Interactive",Meta
MEDIUM,Exclusive Time of Functions,58.6,https://leetcode.com/problems/exclusive-time-of-functions,"Array, Stack",Meta
MEDIUM,Remove Nth Node From End of List,55.2,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers",Meta
MEDIUM,Binary Search Tree Iterator,55.2,https://leetcode.com/problems/binary-search-tree-iterator,"Stack, Tree, Design, Binary Search Tree, Binary Tree, Iterator",Meta
HARD,Best Time to Buy and Sell Stock III,55.2,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,"Array, Dynamic Programming",Meta
EASY,Strobogrammatic Number,55.2,https://leetcode.com/problems/strobogrammatic-number,"Hash Table, Two Pointers, String",Meta
EASY,Kth Missing Positive Number,55.2,https://leetcode.com/problems/kth-missing-positive-number,"Array, Binary Search",Meta
EASY,Add Strings,51.1,https://leetcode.com/problems/add-strings,"Math, String, Simulation",Meta
HARD,Find Median from Data Stream,51.1,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream",Meta
HARD,Minimum Window Substring,51.1,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window",Meta
EASY,Goat Latin,51.1,https://leetcode.com/problems/goat-latin,String,Meta
MEDIUM,Palindromic Substrings,51.1,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming",Meta
MEDIUM,Group Shifted Strings,51.1,https://leetcode.com/problems/group-shifted-strings,"Array, Hash Table, String",Meta
EASY,Missing Ranges,51.1,https://leetcode.com/problems/missing-ranges,Array,Meta
MEDIUM,Car Pooling,39.8,https://leetcode.com/problems/car-pooling,"Array, Sorting, Heap (Priority Queue), Simulation, Prefix Sum",Meta
MEDIUM,Single Element in a Sorted Array,39.8,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search",Meta
EASY,Closest Binary Search Tree Value,39.8,https://leetcode.com/problems/closest-binary-search-tree-value,"Binary Search, Tree, Depth-First Search, Binary Search Tree, Binary Tree",Meta
EASY,Contains Duplicate II,39.8,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window",Meta
HARD,Valid Palindrome III,39.8,https://leetcode.com/problems/valid-palindrome-iii,"String, Dynamic Programming",Meta
MEDIUM,Continuous Subarray Sum,31.1,https://leetcode.com/problems/continuous-subarray-sum,"Array, Hash Table, Math, Prefix Sum",Meta
EASY,Remove All Adjacent Duplicates In String,31.1,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string,"String, Stack",Meta
MEDIUM,Partition to K Equal Sum Subsets,31.1,https://leetcode.com/problems/partition-to-k-equal-sum-subsets,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask",Meta
MEDIUM,Boundary of Binary Tree,31.1,https://leetcode.com/problems/boundary-of-binary-tree,"Tree, Depth-First Search, Binary Tree",Meta
MEDIUM,Minesweeper,31.1,https://leetcode.com/problems/minesweeper,"Array, Depth-First Search, Breadth-First Search, Matrix",Meta
MEDIUM,Shortest Bridge,31.1,https://leetcode.com/problems/shortest-bridge,"Array, Depth-First Search, Breadth-First Search, Matrix",Meta
MEDIUM,Remove All Adjacent Duplicates in String II,31.1,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,"String, Stack",Meta
MEDIUM,String to Integer (atoi),31.1,https://leetcode.com/problems/string-to-integer-atoi,String,Meta
MEDIUM,Search a 2D Matrix,31.1,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix",Meta
