Difficulty,Title,Frequency,Link,Topics,Companies
MEDIUM,Course Schedule,70.5,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort","Amazon, DoorDash, Meta"
HARD,Merge k Sorted Lists,66.7,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort","Amazon, Google, Meta"
MEDIUM,House Robber,66.7,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming","Amazon, Google"
MEDIUM,Group Anagrams,66.7,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting",Amazon
EASY,Roman to Integer,66.7,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String","Amazon, Microsoft"
MEDIUM,Largest 1-Bordered Square,66.7,https://leetcode.com/problems/largest-1-bordered-square,"Array, Dynamic Programming, Matrix",Amazon
MEDIUM,Lowest Common Ancestor of a Binary Tree,66.7,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree","Amazon, Google, Meta"
MEDIUM,Container With Most Water,66.7,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy","Amazon, Google"
MEDIUM,Add Two Numbers,66.7,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion","Amazon, Google, Microsoft, Meta"
MEDIUM,Generate Parentheses,62.2,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking","Amazon, Google"
MEDIUM,Valid Sudoku,62.2,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix","Amazon, Google"
MEDIUM,Rotate Image,62.2,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix","Amazon, Google, Microsoft"
EASY,Palindrome Number,62.2,https://leetcode.com/problems/palindrome-number,Math,"Amazon, Google, Meta"
HARD,Maximum Profit in Job Scheduling,62.2,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting",Amazon
MEDIUM,Minimum Genetic Mutation,62.2,https://leetcode.com/problems/minimum-genetic-mutation,"Hash Table, String, Breadth-First Search",Amazon
MEDIUM,Integer to Roman,62.2,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String",Amazon
MEDIUM,Insert Delete GetRandom O(1),62.2,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized",Amazon
MEDIUM,Search in Rotated Sorted Array,62.2,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search","Amazon, Microsoft"
MEDIUM,K Closest Points to Origin,56.7,https://leetcode.com/problems/k-closest-points-to-origin,"Array, Math, Divide and Conquer, Geometry, Sorting, Heap (Priority Queue), Quickselect","Amazon, Meta"
MEDIUM,Minimum Equal Sum of Two Arrays After Replacing Zeros,56.7,https://leetcode.com/problems/minimum-equal-sum-of-two-arrays-after-replacing-zeros,"Array, Greedy","Amazon, Google"
HARD,Word Ladder,56.7,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search","Amazon, Meta"
MEDIUM,Kth Largest Element in an Array,56.7,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect","Amazon, Meta"
MEDIUM,Longest Consecutive Sequence,56.7,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find",Amazon
MEDIUM,Analyze User Website Visit Pattern,56.7,https://leetcode.com/problems/analyze-user-website-visit-pattern,"Array, Hash Table, Sorting",Amazon
MEDIUM,String Compression,56.7,https://leetcode.com/problems/string-compression,"Two Pointers, String",Amazon
MEDIUM,Jump Game II,56.7,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy","Amazon, Microsoft"
MEDIUM,Find the Duplicate Number,56.7,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation",Amazon
MEDIUM,Spiral Matrix,56.7,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation","Amazon, Google"
HARD,Vertical Order Traversal of a Binary Tree,49.6,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree","Amazon, Meta"
